"klinik";"laki_laki";"perempuan";"periode_update"
"Eksekutif Anak";"2";"1";"Juni 2018"
"BEDAH UROLOGI";"217";"84";"Juni 2018"
"Eksekutif Interne/Penyakit Dalam";"72";"98";"Juni 2018"
"KULIT & KELAMIN";"81";"97";"Juni 2018"
"BEDAH SYARAF";"53";"67";"Juni 2018"
"REHAB MEDIK";"166";"204";"Juni 2018"
"Eksekutif Saraf";"37";"38";"Juni 2018"
"PSIKIATRI/JIWA";"34";"63";"Juni 2018"
"POLI SPESIALIS";"0";"1";"Juni 2018"
"KEBIDANAN/KANDUNGAN";"1";"102";"Juni 2018"
"BEDAH UMUM";"115";"184";"Juni 2018"
"Eksekutif Bedah Orthopedi";"58";"87";"Juni 2018"
"KELUARGA BERENCANA";"0";"13";"Juni 2018"
"JANTUNG";"691";"904";"Juni 2018"
"Eksekutif Psikiatri / Jiwa";"4";"7";"Juni 2018"
"GENERAL CHECKUP";"51";"52";"Juni 2018"
"SYARAF";"355";"408";"Juni 2018"
"PARU";"154";"167";"Juni 2018"
"Eksekutif THT";"11";"4";"Juni 2018"
"Eksekutif Bedah Urologi";"30";"16";"Juni 2018"
"Eksekutif Kulit dan Kelamin";"12";"27";"Juni 2018"
"INTERNE/PENY. DALAM";"701";"1044";"Juni 2018"
"Eksekutif Jantung";"47";"53";"Juni 2018"
"Eksekutif Paru";"6";"7";"Juni 2018"
"ANASTESI";"1";"0";"Juni 2018"
"GIZI";"18";"18";"Juli 2018"
"Eksekutif Bedah Umum";"62";"52";"Juli 2018"
"Eksekutif Gigi dan Mulut";"6";"14";"Juli 2018"
"PALIATIF NYERI";"1";"0";"Juli 2018"
"THT-KL";"190";"221";"Juli 2018"
"VCT";"0";"1";"Juli 2018"
"Eksekutif Endoskopi";"16";"12";"Juli 2018"
"ASIH";"3";"98";"Juli 2018"
"BEDAH ORTHOPEDI";"310";"373";"Juli 2018"
"ANAK";"95";"93";"Juli 2018"
"Eksekutif Mata";"42";"65";"Juli 2018"
"Eksekutif Rehab Medik";"26";"41";"Juli 2018"
"Eksekutif Bedah Saraf";"23";"21";"Juli 2018"
"MATA";"353";"531";"Juli 2018"
"Eksekutif Kebidanan/Kandungan";"0";"75";"Juli 2018"
"GIGI & MULUT";"114";"157";"Juli 2018"
"Eksekutif Anak";"5";"7";"Juli 2018"
"Eksekutif Interne/Penyakit Dalam";"110";"122";"Juli 2018"
"BEDAH UROLOGI";"295";"111";"Juli 2018"
"KULIT & KELAMIN";"133";"174";"Juli 2018"
"BEDAH SYARAF";"69";"95";"Juli 2018"
"REHAB MEDIK";"218";"271";"Juli 2018"
"Eksekutif Saraf";"59";"48";"Juli 2018"
"PSIKIATRI/JIWA";"47";"75";"Juli 2018"
"KEBIDANAN/KANDUNGAN";"6";"152";"Juli 2018"
"BEDAH UMUM";"177";"245";"Juli 2018"
"Eksekutif Bedah Orthopedi";"72";"92";"Juli 2018"
"KELUARGA BERENCANA";"1";"37";"Juli 2018"
"JANTUNG";"951";"1234";"Juli 2018"
"Eksekutif Psikiatri / Jiwa";"5";"5";"Juli 2018"
"GENERAL CHECKUP";"207";"157";"Juli 2018"
"SYARAF";"484";"546";"Juli 2018"
"PARU";"190";"192";"Juli 2018"
"Eksekutif THT";"23";"17";"Juli 2018"
"Eksekutif Bedah Urologi";"45";"13";"Juli 2018"
"Eksekutif Kulit dan Kelamin";"20";"37";"Juli 2018"
"INTERNE/PENY. DALAM";"973";"1419";"Juli 2018"
"Eksekutif Jantung";"78";"97";"Juli 2018"
"Eksekutif Paru";"8";"7";"Juli 2018"
"ANASTESI";"1";"6";"Juli 2018"
"Eksekutif Paliatif Nyeri";"9";"26";"Juli 2018"
"GIZI";"15";"25";"Agustus 2018"
"Eksekutif Bedah Umum";"43";"58";"Agustus 2018"
"Eksekutif Gigi dan Mulut";"4";"10";"Agustus 2018"
"PALIATIF NYERI";"0";"1";"Agustus 2018"
"THT-KL";"145";"161";"Agustus 2018"
"ASIH";"3";"83";"Agustus 2018"
"Eksekutif Endoskopi";"9";"10";"Agustus 2018"
"BEDAH ORTHOPEDI";"287";"337";"Agustus 2018"
"ANAK";"95";"68";"Agustus 2018"
"Eksekutif Rehab Medik";"23";"39";"Agustus 2018"
"Eksekutif Bedah Saraf";"30";"26";"Agustus 2018"
"Eksekutif Mata";"23";"50";"Agustus 2018"
"MATA";"266";"396";"Agustus 2018"
"Eksekutif Kebidanan/Kandungan";"0";"67";"Agustus 2018"
"GIGI & MULUT";"82";"131";"Agustus 2018"
"Eksekutif Anak";"4";"3";"Agustus 2018"
"BEDAH UROLOGI";"286";"89";"Agustus 2018"
"Eksekutif Interne/Penyakit Dalam";"107";"111";"Agustus 2018"
"KULIT & KELAMIN";"106";"152";"Agustus 2018"
"BEDAH SYARAF";"67";"80";"Agustus 2018"
"Eksekutif Saraf";"52";"35";"Agustus 2018"
"REHAB MEDIK";"219";"257";"Agustus 2018"
"PSIKIATRI/JIWA";"49";"72";"Agustus 2018"
"POLI SPESIALIS";"2";"0";"Agustus 2018"
"BEDAH UMUM";"141";"231";"Agustus 2018"
"KEBIDANAN/KANDUNGAN";"3";"107";"Agustus 2018"
"Eksekutif Bedah Orthopedi";"68";"80";"Agustus 2018"
"KELUARGA BERENCANA";"0";"17";"Agustus 2018"
"JANTUNG";"863";"1114";"Agustus 2018"
"Eksekutif Psikiatri / Jiwa";"5";"7";"Agustus 2018"
"GENERAL CHECKUP";"77";"76";"Agustus 2018"
"SYARAF";"466";"506";"Agustus 2018"
"PARU";"186";"180";"Agustus 2018"
"Eksekutif THT";"19";"16";"Agustus 2018"
"Eksekutif Kulit dan Kelamin";"21";"43";"Agustus 2018"
"Eksekutif Bedah Urologi";"38";"18";"Agustus 2018"
"INTERNE/PENY. DALAM";"951";"1371";"Agustus 2018"
"Eksekutif Jantung";"79";"81";"Agustus 2018"
"Eksekutif Paru";"11";"5";"Agustus 2018"
"ANASTESI";"1";"3";"Agustus 2018"
"Eksekutif Paliatif Nyeri";"5";"16";"Agustus 2018"
"GIZI";"18";"16";"September 2018"
"Eksekutif Bedah Umum";"40";"56";"September 2018"
"Eksekutif Gigi dan Mulut";"9";"13";"September 2018"
"Eksekutif Paliatif Nyeri";"5";"10";"September 2018"
"PALIATIF NYERI";"1";"0";"September 2018"
"THT-KL";"115";"128";"September 2018"
"ASIH";"2";"89";"September 2018"
"Eksekutif Endoskopi";"4";"9";"September 2018"
"BEDAH ORTHOPEDI";"248";"310";"September 2018"
"ANAK";"96";"80";"September 2018"
"Eksekutif Rehab Medik";"22";"31";"September 2018"
"Eksekutif Bedah Saraf";"25";"25";"September 2018"
"Eksekutif Mata";"36";"49";"September 2018"
"MATA";"216";"359";"September 2018"
"Eksekutif Kebidanan/Kandungan";"0";"55";"September 2018"
"GIGI & MULUT";"68";"94";"September 2018"
"Eksekutif Anak";"8";"5";"September 2018"
"BEDAH UROLOGI";"278";"97";"September 2018"
"Eksekutif Interne/Penyakit Dalam";"93";"113";"September 2018"
"KULIT & KELAMIN";"78";"106";"September 2018"
"BEDAH SYARAF";"85";"72";"September 2018"
"REHAB MEDIK";"212";"261";"September 2018"
"Eksekutif Saraf";"54";"44";"September 2018"
"PSIKIATRI/JIWA";"38";"71";"September 2018"
"BEDAH UMUM";"134";"198";"September 2018"
"KEBIDANAN/KANDUNGAN";"4";"124";"September 2018"
"Eksekutif Bedah Orthopedi";"80";"87";"September 2018"
"KELUARGA BERENCANA";"0";"20";"September 2018"
"JANTUNG";"761";"949";"September 2018"
"Eksekutif Psikiatri / Jiwa";"1";"7";"September 2018"
"GENERAL CHECKUP";"73";"72";"September 2018"
"SYARAF";"394";"479";"September 2018"
"PARU";"157";"157";"September 2018"
"Eksekutif THT";"13";"15";"September 2018"
"Eksekutif Bedah Urologi";"32";"11";"September 2018"
"Eksekutif Kulit dan Kelamin";"4";"13";"September 2018"
"INTERNE/PENY. DALAM";"878";"1260";"September 2018"
"Eksekutif Jantung";"77";"81";"September 2018"
"Eksekutif Paru";"9";"11";"September 2018"
"ANASTESI";"0";"1";"September 2018"
"GIZI";"14";"18";"Oktober 2018"
"Eksekutif Bedah Umum";"44";"53";"Oktober 2018"
"Eksekutif Gigi dan Mulut";"11";"13";"Oktober 2018"
"PALIATIF NYERI";"0";"1";"Oktober 2018"
"THT-KL";"103";"99";"Oktober 2018"
"ASIH";"0";"75";"Oktober 2018"
"Eksekutif Endoskopi";"9";"12";"Oktober 2018"
"BEDAH ORTHOPEDI";"222";"264";"Oktober 2018"
"ANAK";"81";"75";"Oktober 2018"
"Eksekutif Rehab Medik";"13";"27";"Oktober 2018"
"Eksekutif Bedah Saraf";"24";"29";"Oktober 2018"
"Eksekutif Mata";"41";"64";"Oktober 2018"
"TUMBUH KEMBANG";"1";"0";"Oktober 2018"
"MATA";"164";"266";"Oktober 2018"
"Eksekutif Kebidanan/Kandungan";"0";"64";"Oktober 2018"
"GIGI & MULUT";"50";"75";"Oktober 2018"
"Eksekutif Anak";"10";"9";"Oktober 2018"
"BEDAH UROLOGI";"272";"108";"Oktober 2018"
"Eksekutif Interne/Penyakit Dalam";"102";"145";"Oktober 2018"
"KULIT & KELAMIN";"61";"69";"Oktober 2018"
"BEDAH SYARAF";"69";"64";"Oktober 2018"
"REHAB MEDIK";"174";"222";"Oktober 2018"
"Eksekutif Saraf";"44";"52";"Oktober 2018"
"PSIKIATRI/JIWA";"40";"45";"Oktober 2018"
"POLI SPESIALIS";"0";"1";"Oktober 2018"
"BEDAH UMUM";"99";"142";"Oktober 2018"
"KEBIDANAN/KANDUNGAN";"3";"94";"Oktober 2018"
"Eksekutif Bedah Orthopedi";"85";"96";"Oktober 2018"
"KELUARGA BERENCANA";"0";"25";"Oktober 2018"
"JANTUNG";"535";"650";"Oktober 2018"
"Eksekutif Psikiatri / Jiwa";"3";"9";"Oktober 2018"
"GENERAL CHECKUP";"74";"63";"Oktober 2018"
"SYARAF";"291";"345";"Oktober 2018"
"PARU";"116";"123";"Oktober 2018"
"Eksekutif THT";"20";"22";"Oktober 2018"
"Eksekutif Bedah Urologi";"38";"24";"Oktober 2018"
"Eksekutif Kulit dan Kelamin";"12";"37";"Oktober 2018"
"INTERNE/PENY. DALAM";"733";"992";"Oktober 2018"
"Eksekutif Jantung";"85";"103";"Oktober 2018"
"Eksekutif Paru";"8";"10";"Oktober 2018"
"Eksekutif Paliatif Nyeri";"5";"13";"Oktober 2018"
"GIZI";"13";"10";"November 2018"
"Eksekutif Bedah Umum";"44";"48";"November 2018"
"Eksekutif Gigi dan Mulut";"9";"13";"November 2018"
"Eksekutif Paliatif Nyeri";"5";"15";"November 2018"
"THT-KL";"110";"95";"November 2018"
"VCT";"1";"0";"November 2018"
"ASIH";"1";"59";"November 2018"
"Eksekutif Endoskopi";"9";"12";"November 2018"
"BEDAH ORTHOPEDI";"182";"195";"November 2018"
"ANAK";"72";"49";"November 2018"
"Eksekutif Mata";"33";"54";"November 2018"
"Eksekutif Rehab Medik";"11";"25";"November 2018"
"Eksekutif Bedah Saraf";"14";"16";"November 2018"
"MATA";"169";"220";"November 2018"
"Eksekutif Kebidanan/Kandungan";"1";"68";"November 2018"
"GIGI & MULUT";"44";"53";"November 2018"
"Eksekutif Anak";"4";"16";"November 2018"
"BEDAH UROLOGI";"292";"118";"November 2018"
"Eksekutif Interne/Penyakit Dalam";"101";"119";"November 2018"
"KULIT & KELAMIN";"60";"68";"November 2018"
"BEDAH SYARAF";"76";"78";"November 2018"
"REHAB MEDIK";"131";"172";"November 2018"
"PSIKIATRI/JIWA";"31";"29";"November 2018"
"Eksekutif Saraf";"56";"48";"November 2018"
"BEDAH UMUM";"95";"120";"November 2018"
"KEBIDANAN/KANDUNGAN";"8";"60";"November 2018"
"Eksekutif Bedah Orthopedi";"66";"59";"November 2018"
"KELUARGA BERENCANA";"0";"24";"November 2018"
"JANTUNG";"441";"525";"November 2018"
"Eksekutif Psikiatri / Jiwa";"2";"3";"November 2018"
"GENERAL CHECKUP";"22";"22";"November 2018"
"SYARAF";"189";"231";"November 2018"
"PARU";"87";"90";"November 2018"
"Eksekutif THT";"13";"18";"November 2018"
"Eksekutif Bedah Urologi";"50";"25";"November 2018"
"Eksekutif Kulit dan Kelamin";"15";"39";"November 2018"
"INTERNE/PENY. DALAM";"656";"789";"November 2018"
"Eksekutif Jantung";"79";"96";"November 2018"
"Eksekutif Paru";"8";"14";"November 2018"
"ANASTESI";"0";"1";"November 2018"
"GIZI";"4";"11";"Desember 2018"
"INTERNE/PENY. DALAM";"633";"698";"Desember 2018"
"Eksekutif Jantung";"78";"83";"Desember 2018"
"Eksekutif Paru";"5";"8";"Desember 2018"
"Eksekutif Bedah Umum";"48";"55";"Desember 2018"
"Eksekutif Gigi dan Mulut";"9";"6";"Desember 2018"
"Eksekutif Paliatif Nyeri";"1";"9";"Desember 2018"
"THT-KL";"130";"115";"Desember 2018"
"ASIH";"0";"64";"Desember 2018"
"Eksekutif Endoskopi";"7";"9";"Desember 2018"
"BEDAH ORTHOPEDI";"201";"218";"Desember 2018"
"ANAK";"73";"41";"Desember 2018"
"Eksekutif Rehab Medik";"12";"21";"Desember 2018"
"Eksekutif Mata";"38";"54";"Desember 2018"
"Eksekutif Bedah Saraf";"23";"28";"Desember 2018"
"TB MDR";"0";"1";"Desember 2018"
"MATA";"196";"238";"Desember 2018"
"Eksekutif Kebidanan/Kandungan";"0";"63";"Desember 2018"
"Eksekutif Anak";"7";"8";"Desember 2018"
"GIGI & MULUT";"46";"55";"Desember 2018"
"Eksekutif Interne/Penyakit Dalam";"91";"117";"Desember 2018"
"BEDAH UROLOGI";"324";"101";"Desember 2018"
"KULIT & KELAMIN";"66";"78";"Desember 2018"
"BEDAH SYARAF";"71";"67";"Desember 2018"
"REHAB MEDIK";"132";"180";"Desember 2018"
"Eksekutif Saraf";"49";"43";"Desember 2018"
"PSIKIATRI/JIWA";"30";"42";"Desember 2018"
"BEDAH UMUM";"107";"114";"Desember 2018"
"KEBIDANAN/KANDUNGAN";"6";"61";"Desember 2018"
"Eksekutif Bedah Orthopedi";"81";"87";"Desember 2018"
"KELUARGA BERENCANA";"1";"16";"Desember 2018"
"JANTUNG";"435";"546";"Desember 2018"
"Eksekutif Psikiatri / Jiwa";"2";"7";"Desember 2018"
"GENERAL CHECKUP";"106";"125";"Desember 2018"
"SYARAF";"173";"216";"Desember 2018"
"PARU";"103";"83";"Desember 2018"
"Eksekutif THT";"15";"13";"Desember 2018"
"Eksekutif Kulit dan Kelamin";"33";"48";"Desember 2018"
"Eksekutif Bedah Urologi";"43";"20";"Desember 2018"
"ANAK";"58";"32";"November 2021"
"ASIH";"1";"40";"November 2021"
"BEDAH ORTHOPEDI";"176";"187";"November 2021"
"BEDAH SYARAF";"34";"56";"November 2021"
"BEDAH UMUM";"90";"89";"November 2021"
"BEDAH UROLOGI";"198";"59";"November 2021"
"Eksekutif Anak";"5";"3";"November 2021"
"Eksekutif Bedah Orthopedi";"49";"78";"November 2021"
"Eksekutif Bedah Saraf";"13";"6";"November 2021"
"Eksekutif Bedah Umum";"44";"43";"November 2021"
"Eksekutif Bedah Urologi";"50";"17";"November 2021"
"Eksekutif Gigi dan Mulut";"3";"8";"November 2021"
"Eksekutif Interne/Penyakit Dalam";"98";"101";"November 2021"
"Eksekutif Jantung";"57";"70";"November 2021"
"Eksekutif Kebidanan/Kandungan";"0";"82";"November 2021"
"Eksekutif Kulit dan Kelamin";"7";"22";"November 2021"
"Eksekutif Mata";"33";"46";"November 2021"
"Eksekutif Paliatif Nyeri";"3";"0";"November 2021"
"Eksekutif Paru";"10";"3";"November 2021"
"Eksekutif Psikiatri / Jiwa";"6";"3";"November 2021"
"Eksekutif Rehab Medik";"23";"17";"November 2021"
"Eksekutif Saraf";"30";"39";"November 2021"
"Eksekutif THT";"8";"15";"November 2021"
